Ref,Val,Package,PosX,PosY,Rot,Side
"D10","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",64.000000,-94.000000,0.000000,top
"D11","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",64.000000,-106.000000,0.000000,top
"D12","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",64.000000,-118.000000,0.000000,top
"D13","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",75.000000,-71.500000,0.000000,top
"D14","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",85.000000,-71.500000,0.000000,top
"D15","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",95.000000,-71.500000,0.000000,top
"D16","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",105.000000,-71.500000,0.000000,top
"D17","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",115.000000,-71.500000,0.000000,top
"D18","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",125.000000,-71.500000,0.000000,top
"D19","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",136.000000,-82.000000,0.000000,top
"D20","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",136.000000,-94.000000,0.000000,top
"D21","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",136.000000,-106.000000,0.000000,top
"D22","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",136.000000,-118.000000,0.000000,top
"D23","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",142.000000,-82.000000,0.000000,top
"D24","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",142.000000,-94.000000,0.000000,top
"D25","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",142.000000,-106.000000,0.000000,top
"D26","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",142.000000,-118.000000,0.000000,top
"D27","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",148.000000,-82.000000,0.000000,top
"D28","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",148.000000,-94.000000,0.000000,top
"D29","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",148.000000,-106.000000,0.000000,top
"D30","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",148.000000,-118.000000,0.000000,top
"D31","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",125.000000,-128.500000,180.000000,top
"D32","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",115.000000,-128.500000,180.000000,top
"D33","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",105.000000,-128.500000,180.000000,top
"D34","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",95.000000,-128.500000,180.000000,top
"D35","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",85.000000,-128.500000,180.000000,top
"D36","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",75.000000,-128.500000,180.000000,top
